,reaction,GPR,score
1407,ATPS4r,((PADL01_0215900-t36_1-p1 and PADL01_0405700-t36_1-p1 and PADL01_1310200-t36_1-p1) or (PADL01_0215900-t36_1-p1 and PADL01_1236300-t36_1-p1 and PADL01_1310200-t36_1-p1) or (PADL01_0405700-t36_1-p1 and PADL01_1310800-t36_1-p1 and PADL01_1341000-t36_1-p1) or (PADL01_0405700-t36_1-p1 and PADL01_1341000-t36_1-p1)),160.1875
1408,ATPS4rpp,((PADL01_0215900-t36_1-p1 and PADL01_1236300-t36_1-p1 and PADL01_1310200-t36_1-p1) or (PADL01_0215900-t36_1-p1 and PADL01_1236300-t36_1-p1) or (PADL01_0215900-t36_1-p1 and PADL01_1310200-t36_1-p1) or (PADL01_1236300-t36_1-p1 and PADL01_1310200-t36_1-p1) or PADL01_0215900-t36_1-p1 or PADL01_1236300-t36_1-p1 or PADL01_1310200-t36_1-p1),146.5625
1409,ATPS4rpp_1,(PADL01_0215900-t36_1-p1 and PADL01_1310200-t36_1-p1),60.019999999999996
1411,ATPSu,(PADL01_0215900-t36_1-p1 and PADL01_1310200-t36_1-p1),60.019999999999996
1413,ATP_3h_tm,PADL01_1035900-t36_1-p1,289.3
1415,ATPtm_H,PADL01_1035900-t36_1-p1,295.0
1416,ATPtp_H,PADL01_1367600-t36_1-p1,45.4
1473,BACCL,PADL01_1025300-t36_1-p1,53.9
1482,BATHORHODOPSINI,PADL01_1359500-t36_1-p1,98.6
1484,BC10_new,PADL01_1439400-t36_1-p1,19.25
1489,BCAROKT,PADL01_1317000-t36_1-p1,58.15
1560,BTP,PADL01_0816700-t36_1-p1,160.2
1595,BZt,spontaneous,0.0
1599,C100SN,PADL01_0921900-t36_1-p1,46.519999999999996
1601,C140SN,PADL01_0613400-t36_1-p1,19.75
1609,C160SN,PADL01_0613400-t36_1-p1,19.75
1620,C180SN,PADL01_0613400-t36_1-p1,19.75
1625,C181SN,PADL01_0613400-t36_1-p1,19.75
1626,C190cSN,PADL01_0613400-t36_1-p1,19.75
1633,C22STDS,PADL01_0922200-t36_1-p1,49.3
1658,CA2abc,PADL01_1212300-t36_1-p1,419.5
1659,CA2abc1,PADL01_0103900-t36_1-p1,429.1
1660,CA2abcpp,PADL01_1212300-t36_1-p1,327.4
1661,CA2t3pp,PADL01_0601600-t36_1-p1,234.6
1668,CACOAL,PADL01_0524100-t36_1-p1,420.2
1684,CAt4,PADL01_0601600-t36_1-p1,200.3
1688,CBFC,PADL01_1439400-t36_1-p1,10.16
1689,CBFC2,PADL01_1439400-t36_1-p1,2.536363636363636
1690,CBFC2pp,PADL01_1439400-t36_1-p1,2.536363636363636
1691,CBFCpp,PADL01_1439400-t36_1-p1,2.536363636363636
1692,CBFCu,PADL01_1439400-t36_1-p1,2.536363636363636
1707,CBMD,spontaneous,0.0
1711,CBPS,PADL01_1307000-t36_1-p1,1007.3
1713,CBPSn,PADL01_1307000-t36_1-p1,1007.3
1718,CCP2m,(PADL01_1403700-t36_1-p1 or PADL01_1462700-t36_1-p1),129.6
1723,CD2t4,PADL01_0713900-t36_1-p1,70.5
1771,CDPDAGS18111Z160,PADL01_1409500-t36_1-p1,200.7
1772,CDPDAGS18111Z160h,PADL01_1409500-t36_1-p1,200.7
1773,CDPDAGS1819Z160,PADL01_1409500-t36_1-p1,200.7
1774,CDPDAGS1819Z160h,PADL01_1409500-t36_1-p1,200.7
