,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
EX_2agpe180_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SERTRS2c,,,not in model,not in model,not in model,,,,,,,,,
KATpc,,,not in model,not in model,not in model,,,,,,,,,
EX_fecost_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
KAS3,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
SELMETAT,,,not in model,not in model,nonlethal,,,,,,,,,
EX_Lcyst_e,,,not in model,not in model,not in model,,,,,,,,,
ilvg,,,not in model,not in model,not in model,,,,,,,,,
A2GALT3c,,,not in model,not in model,not in model,,,,,,,,,
3OAR160_m,,,not in model,not in model,not in model,,,,,,,,,
MDDCP2ex,,,not in model,not in model,not in model,,,,,,,,,
ECOAH6,,,not in model,nonlethal,nonlethal,,,,,,,,,
3OAS100,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
