,TgondiiGT1,TgondiiME49,Pfalciparum3D7,PbergheiANKA,PvivaxSal1,ChominisTU502_2012,CparvumIowaII,EhistolyticaHM1IMSS-A,LmajorSD75,TcruziCLBrener,TbruceiLister427,VbrassicaformisCCMP3155,BbovisT2Bo,gf_no_ortho_NfowleriATCC30863
METTRS,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
MGHAc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
3OAS140_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_sucr_e,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
ETHAPT_OLE_HDE_c,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
AGPATCOA18111Z18111Z,not in model,not in model,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
UDPDPS2,lethal,not in model,not in model,not in model,lethal,,,not in model,not in model,,lethal,lethal,not in model,not in model
FDMO2,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
FACOAL181_1,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
3HAD40,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
AGAIAGT,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,not in model
ACOADAGAT18111Z18111Z1845Z9Z12Z15Z,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
DDSMSTOLD,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
MDHi2,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
NTD7,lethal,lethal,lethal,lethal,nonlethal,,,lethal,not in model,,not in model,nonlethal,lethal,nonlethal
ASNS1,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
ACOADH140_m,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
POAThc,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
pg_prod2,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PHOMSELCYSL,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
EX_galctn__D_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
D_LACDcmc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
2HMHMBQMTmc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
AHCYSNS,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
MDDEP1ppc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
HIBHc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
TIHCD,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
UDPGP,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
ALDD4,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
DRTPPD,lethal,lethal,lethal,lethal,nonlethal,,,lethal,not in model,,lethal,lethal,lethal,lethal
E4PD,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
HMNOc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
DASYN_SA,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
3HAD181_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_bilea_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
METAT,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,nonlethal,lethal,nonlethal
LPCAT_LNA_EPA_sn2_c,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
CPMPS,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
PA180tap,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_ala__D_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
RZ5PP,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
GLNabc,lethal,lethal,not in model,lethal,lethal,,,not in model,lethal,,not in model,lethal,not in model,lethal
PHYTES,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ACOAR7mc,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,lethal,lethal
EX_pe18111Z1819Z_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
3OAS181,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
G3PCabcppc,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
10FTHFGLULLm,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,not in model
PDHam1mi,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
FECOSTAT_SC,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
TAGL_SC,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
NTPP2,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
RAFH,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
PYKm,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
PG161abcppc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
LPLIPAL2ATE180,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
CHOPT_STC_HDE_c,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
GGDPR,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
MEVK2,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
3OAS180_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ARGSERSERt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
XYL3abc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
EX_chitob_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
OAAICITtm,lethal,lethal,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
STRDNCCPT1,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
AACPS3,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
LPEAT_LNA_HDE_sn2_c,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
GLUt7m,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
CLIPAabctexc,lethal,lethal,lethal,not in model,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
PGMmc,not in model,not in model,lethal,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,lethal
IPPS,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
CYSTA,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
PHEMEABCte,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
MACPD,lethal,lethal,lethal,lethal,nonlethal,,,lethal,not in model,,lethal,nonlethal,not in model,nonlethal
ICL,lethal,lethal,lethal,not in model,not in model,,,lethal,not in model,,lethal,lethal,not in model,not in model
FACOAE100,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
HMR_2942,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PLDPE_OLE_OLE_c,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
CGMPt,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PLDAGAT18111Z1819Z1819Z2,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
ECOAH9m,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
P5CD,not in model,not in model,lethal,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,lethal
INSt,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
FA160ACPH_m,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
METSOXR1,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
SERA_m,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
NA1tm,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
TRPMETVALt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_pta_e,not in model,not in model,not in model,not in model,lethal,,,lethal,not in model,,lethal,lethal,not in model,not in model
PA181abcppc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
PGM,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
EX_hdcea_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
AACPS2,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
EX_actn__R_e,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
PDE4,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
EX_xolest2_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
GLNt2r,lethal,lethal,not in model,lethal,lethal,,,not in model,not in model,,lethal,lethal,not in model,lethal
HACD3i,not in model,not in model,not in model,not in model,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
THFOR2,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
MG1A,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
KAT4,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
NTP9,not in model,not in model,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,not in model,lethal,not in model
PLDAGAT_OLE_EPA_DHA_PE_14_c,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
SELMETAT,not in model,not in model,not in model,not in model,lethal,,,lethal,not in model,,not in model,not in model,lethal,not in model
XYLR,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,lethal,not in model,lethal
PLDAGAT_LNA_EPA_GLNA_PC_4_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EAR121y,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
MOD_4mop,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
ALDD2ym,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
AP5AH,not in model,not in model,nonlethal,nonlethal,not in model,,,lethal,nonlethal,,nonlethal,nonlethal,not in model,not in model
EX_val__L_e,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
