,PfalciparumCD01,PfalciparumDd2,EhistolyticaHM1IMSS-A,TgondiiGAB2-2007-GAL-DOM2,Tgondiip89,EhellemATCC50504,CsuisWienI
hmbil_c,produced,produced,not present in model,produced,produced,not present in model,not present in model
dgdg1819Z160_c,neither,neither,not present in model,neither,neither,not present in model,neither
4hproara_aragal_galara_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
gdp_c,produced,produced,produced,produced,produced,produced,produced
clpn141_e,neither,neither,not present in model,not present in model,not present in model,not present in model,not present in model
2agpe161_c,neither,neither,neither,neither,neither,not present in model,neither
1odec11eg3p_c,produced,produced,not present in model,produced,produced,produced,produced
pi_m,produced,produced,not present in model,produced,produced,not present in model,produced
3hph5mb_m,produced,produced,not present in model,produced,produced,not present in model,produced
hepdp_c,produced,produced,not present in model,produced,produced,not present in model,produced
gua_c,neither,neither,produced,neither,neither,produced,neither
cer3_24_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
2mp2coa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
2hmc_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
hpal_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
dadp_c,produced,produced,produced,produced,produced,produced,produced
3php_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
lmn2_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
h2co3_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
retinol_c,not present in model,not present in model,not present in model,neither,neither,neither,neither
pgp_SC_c,not present in model,not present in model,not present in model,not present in model,not present in model,produced,not present in model
3mgcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
fa12coa_c,produced,produced,produced,produced,produced,produced,produced
cyan_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
trnaile_m,neither,neither,not present in model,neither,neither,not present in model,neither
octdp_5_m,neither,neither,not present in model,neither,neither,not present in model,neither
g3pc_c,neither,neither,neither,not present in model,neither,produced,neither
dnad_c,produced,produced,produced,neither,neither,not present in model,neither
4hprogal_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ddcacoa_m,produced,produced,not present in model,produced,produced,not present in model,produced
fe3hox_e,not present in model,not present in model,not present in model,neither,not present in model,neither,neither
orn_m,produced,produced,not present in model,produced,produced,not present in model,produced
2ommbl_c,produced,produced,not present in model,produced,produced,not present in model,produced
mannan_c,not present in model,not present in model,not present in model,not present in model,not present in model,produced,not present in model
xmp_c,produced,produced,produced,produced,produced,not present in model,produced
